contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK270115P00580000,2026-09-02 14:35:43+00:00,580.0,3.9,4.0,4.6,0.0,0.0,1.0,185,0.8145770495605469,False,REGULAR,USD
SNDK270115P00590000,2026-09-02 13:40:42+00:00,590.0,4.0,4.3,5.3,-0.099999905,-2.439022,2.0,181,0.8160418786621093,False,REGULAR,USD
SNDK270115P00600000,2026-09-01 16:45:25+00:00,600.0,4.3,4.5,5.2,0.0,0.0,2.0,770,0.8042622113037108,False,REGULAR,USD
SNDK270115P00610000,2026-08-24 17:51:42+00:00,610.0,10.0,4.9,6.7,0.0,0.0,10.0,84,0.815858775024414,False,REGULAR,USD
SNDK270115P00620000,2026-08-31 14:28:15+00:00,620.0,5.91,5.1,6.0,0.0,0.0,1.0,950,0.7966328930664062,False,REGULAR,USD
SNDK270115P00630000,2026-09-02 14:46:39+00:00,630.0,5.79,5.6,6.3,-1.4700003,-20.247938,10.0,537,0.7934285794067383,False,REGULAR,USD
SNDK270115P00640000,2026-09-02 14:45:32+00:00,640.0,6.2,6.0,6.9,-1.3000002,-17.333336,1.0,113,0.7919942675781251,False,REGULAR,USD
SNDK270115P00650000,2026-08-31 19:56:02+00:00,650.0,6.55,6.2,7.1,0.0,0.0,1.0,291,0.7836325347900392,False,REGULAR,USD
SNDK270115P00660000,2026-08-31 19:58:40+00:00,660.0,6.64,6.7,7.6,0.0,0.0,20.0,806,0.7814352911376954,False,REGULAR,USD
SNDK270115P00670000,2026-09-01 14:04:14+00:00,670.0,7.0,7.2,8.2,0.0,0.0,1.0,121,0.7796652893066407,False,REGULAR,USD
SNDK270115P00680000,2026-08-31 14:55:44+00:00,680.0,8.3,6.9,10.1,0.0,0.0,2.0,55,0.7818930502319336,False,REGULAR,USD
SNDK270115P00690000,2026-08-31 19:44:52+00:00,690.0,9.5,8.0,10.8,0.0,0.0,7.0,56,0.7848227084350586,False,REGULAR,USD
SNDK270115P00700000,2026-09-02 13:45:21+00:00,700.0,8.4,8.8,9.6,-1.0,-10.638298,3.0,2586,0.7690147610473633,False,REGULAR,USD
SNDK270115P00710000,2026-09-02 13:34:36+00:00,710.0,9.3,9.4,10.2,0.10000038,1.0869607,1.0,213,0.7663902755737305,False,REGULAR,USD
SNDK270115P00720000,2026-09-02 14:19:13+00:00,720.0,10.5,10.2,11.1,0.3800001,3.754942,5.0,498,0.767153207397461,False,REGULAR,USD
SNDK270115P00730000,2026-08-31 16:16:02+00:00,730.0,11.9,10.8,11.6,0.0,0.0,2.0,211,0.7628807891845704,False,REGULAR,USD
SNDK270115P00740000,2026-08-28 18:54:52+00:00,740.0,14.28,11.4,12.5,0.0,0.0,30.0,252,0.7611413046264649,False,REGULAR,USD
SNDK270115P00750000,2026-09-01 16:15:37+00:00,750.0,11.01,12.2,13.4,0.0,0.0,5.0,1063,0.7602563037109377,False,REGULAR,USD
SNDK270115P00760000,2026-09-01 15:45:19+00:00,760.0,11.5,13.0,13.9,0.0,0.0,43.0,481,0.7563348341369629,False,REGULAR,USD
SNDK270115P00770000,2026-09-02 14:50:10+00:00,770.0,14.6,13.8,15.2,2.2000008,17.741941,24.0,196,0.756960438232422,False,REGULAR,USD
SNDK270115P00780000,2026-09-01 13:30:24+00:00,780.0,15.1,14.8,16.0,0.0,0.0,1.0,525,0.7552667295837403,False,REGULAR,USD
SNDK270115P00790000,2026-09-01 14:49:43+00:00,790.0,15.2,15.5,16.9,0.0,0.0,3.0,212,0.7520471572875976,False,REGULAR,USD
SNDK270115P00800000,2026-09-02 15:03:59+00:00,800.0,17.3,16.4,17.5,2.6799994,18.331049,16.0,947,0.7480188772583009,False,REGULAR,USD
SNDK270115P00810000,2026-09-01 16:39:28+00:00,810.0,16.0,17.1,18.7,0.0,0.0,2.0,70,0.7457911163330078,False,REGULAR,USD
SNDK270115P00820000,2026-09-02 14:36:42+00:00,820.0,18.4,18.2,20.1,-1.5,-7.5376887,2.0,139,0.7461573236083985,False,REGULAR,USD
SNDK270115P00830000,2026-09-01 15:56:25+00:00,830.0,17.6,19.5,20.9,0.0,0.0,2.0,87,0.7441126663208008,False,REGULAR,USD
SNDK270115P00840000,2026-08-31 18:36:07+00:00,840.0,22.05,20.9,22.1,0.0,0.0,7.0,266,0.7439753385925292,False,REGULAR,USD
SNDK270115P00850000,2026-09-01 18:12:46+00:00,850.0,21.24,21.9,23.4,0.0,0.0,3.0,374,0.7420527503967285,False,REGULAR,USD
SNDK270115P00860000,2026-08-28 17:40:27+00:00,860.0,29.1,22.4,25.7,0.0,0.0,8.0,171,0.7418849053955077,False,REGULAR,USD
SNDK270115P00870000,2026-08-28 19:58:46+00:00,870.0,25.0,23.3,26.6,0.0,0.0,1.0,143,0.7372157626342773,False,REGULAR,USD
SNDK270115P00880000,2026-09-01 16:00:35+00:00,880.0,22.5,25.0,28.1,0.0,0.0,2.0,189,0.7378718840026854,False,REGULAR,USD
SNDK270115P00890000,2026-09-02 14:46:14+00:00,890.0,27.28,27.1,28.7,-2.42,-8.148148,1.0,480,0.7361476580810546,False,REGULAR,USD
SNDK270115P00900000,2026-09-02 14:46:14+00:00,900.0,28.73,29.0,30.5,0.9599991,3.4569645,10.0,594,0.7377498149108885,False,REGULAR,USD
SNDK270115P00910000,2026-09-02 15:00:52+00:00,910.0,30.52,30.3,31.6,-0.4300003,-1.3893386,2.0,109,0.7342098112487792,False,REGULAR,USD
SNDK270115P00920000,2026-09-01 18:45:04+00:00,920.0,32.45,31.3,34.2,0.0,0.0,6.0,102,0.7345836478424073,False,REGULAR,USD
SNDK270115P00930000,2026-09-01 18:44:19+00:00,930.0,33.99,33.2,35.3,0.0,0.0,7.0,167,0.7325237319183349,False,REGULAR,USD
